nohup: ignoring input
Namespace(dataset='busi', dataroot=None, workers=1, batchSize=16, imageSize=64, nc=1, nz=100, ngf=64, ndf=64, niter=10001, lrD=5e-05, lrG=5e-05, beta1=0.5, cuda=True, ngpu=1, netG='', netD='', clamp_lower=-0.01, clamp_upper=0.01, Diters=5, noBN=False, mlp_G=False, mlp_D=False, n_extra_layers=0, experiment='/root/example/airs1/semi/code/pretrain/GAN', adam=True, root='/root/example/airs1', expID=3)
mkdir: cannot create directory ‘/root/example/airs1/semi/code/pretrain/GAN’: File exists
Random Seed:  4014
正在预加载 train-label 数据 (共 288 张)...
✅ 数据已锁入内存！
using cuda ===================================== 
[172/10001] End of Epoch | Avg_Loss_D: -260.4294 | Avg_Loss_G: 157.8069 | Total_Iter: 519
[173/10001] End of Epoch | Avg_Loss_D: -284.8486 | Avg_Loss_G: 158.2743 | Total_Iter: 522
[174/10001] End of Epoch | Avg_Loss_D: -316.2270 | Avg_Loss_G: 159.7025 | Total_Iter: 525
[175/10001] End of Epoch | Avg_Loss_D: -319.1897 | Avg_Loss_G: 160.8944 | Total_Iter: 528
[176/10001] End of Epoch | Avg_Loss_D: -322.3118 | Avg_Loss_G: 161.9294 | Total_Iter: 531
[177/10001] End of Epoch | Avg_Loss_D: -324.5476 | Avg_Loss_G: 163.0498 | Total_Iter: 534
[178/10001] End of Epoch | Avg_Loss_D: -326.1639 | Avg_Loss_G: 164.1116 | Total_Iter: 537
[179/10001] End of Epoch | Avg_Loss_D: -328.8283 | Avg_Loss_G: 165.1585 | Total_Iter: 540
[180/10001] End of Epoch | Avg_Loss_D: -330.8498 | Avg_Loss_G: 166.2263 | Total_Iter: 543
[181/10001] End of Epoch | Avg_Loss_D: -333.4185 | Avg_Loss_G: 167.3054 | Total_Iter: 546
[182/10001] End of Epoch | Avg_Loss_D: -335.2870 | Avg_Loss_G: 168.3845 | Total_Iter: 549
[183/10001] End of Epoch | Avg_Loss_D: -337.9401 | Avg_Loss_G: 169.6133 | Total_Iter: 552
[184/10001] End of Epoch | Avg_Loss_D: -339.6711 | Avg_Loss_G: 170.7564 | Total_Iter: 555
[185/10001] End of Epoch | Avg_Loss_D: -342.2142 | Avg_Loss_G: 171.9283 | Total_Iter: 558
[186/10001] End of Epoch | Avg_Loss_D: -344.3305 | Avg_Loss_G: 173.0252 | Total_Iter: 561
[187/10001] End of Epoch | Avg_Loss_D: -346.9489 | Avg_Loss_G: 174.2168 | Total_Iter: 564
[188/10001] End of Epoch | Avg_Loss_D: -348.6914 | Avg_Loss_G: 175.3481 | Total_Iter: 567
[189/10001] End of Epoch | Avg_Loss_D: -350.4202 | Avg_Loss_G: 176.2997 | Total_Iter: 570
[190/10001] End of Epoch | Avg_Loss_D: -353.2305 | Avg_Loss_G: 177.3989 | Total_Iter: 573
[191/10001] End of Epoch | Avg_Loss_D: -355.1314 | Avg_Loss_G: 178.4921 | Total_Iter: 576
[192/10001] End of Epoch | Avg_Loss_D: -357.5611 | Avg_Loss_G: 179.5150 | Total_Iter: 579
[193/10001] End of Epoch | Avg_Loss_D: -358.8300 | Avg_Loss_G: 180.4213 | Total_Iter: 582
[194/10001] End of Epoch | Avg_Loss_D: -361.8314 | Avg_Loss_G: 181.6888 | Total_Iter: 585
[195/10001] End of Epoch | Avg_Loss_D: -363.7105 | Avg_Loss_G: 182.7904 | Total_Iter: 588
[196/10001] End of Epoch | Avg_Loss_D: -365.1527 | Avg_Loss_G: 183.8402 | Total_Iter: 591
[197/10001] End of Epoch | Avg_Loss_D: -368.1918 | Avg_Loss_G: 185.0779 | Total_Iter: 594
[198/10001] End of Epoch | Avg_Loss_D: -370.6697 | Avg_Loss_G: 186.1413 | Total_Iter: 597
[199/10001] End of Epoch | Avg_Loss_D: -292.9480 | Avg_Loss_G: 185.3344 | Total_Iter: 600
[200/10001] End of Epoch | Avg_Loss_D: -371.9253 | Avg_Loss_G: 187.6391 | Total_Iter: 603
[201/10001] End of Epoch | Avg_Loss_D: -375.5412 | Avg_Loss_G: 188.6168 | Total_Iter: 606
[202/10001] End of Epoch | Avg_Loss_D: -373.0655 | Avg_Loss_G: 189.6660 | Total_Iter: 609
[203/10001] End of Epoch | Avg_Loss_D: -368.3964 | Avg_Loss_G: 190.9409 | Total_Iter: 612
[204/10001] End of Epoch | Avg_Loss_D: -376.9338 | Avg_Loss_G: 191.1922 | Total_Iter: 615
[205/10001] End of Epoch | Avg_Loss_D: -382.8649 | Avg_Loss_G: 192.9402 | Total_Iter: 618
[206/10001] End of Epoch | Avg_Loss_D: -385.3026 | Avg_Loss_G: 194.1639 | Total_Iter: 621
[207/10001] End of Epoch | Avg_Loss_D: -388.8656 | Avg_Loss_G: 195.5007 | Total_Iter: 624
[208/10001] End of Epoch | Avg_Loss_D: -391.7651 | Avg_Loss_G: 196.6556 | Total_Iter: 627
[209/10001] End of Epoch | Avg_Loss_D: -391.8936 | Avg_Loss_G: 197.7502 | Total_Iter: 630
